FIPS,State,County,perc_Fair_or_Poor_Health,perc_Smokers,perc_Adults_with_Obesity,per_Physically_Inactive,perc_With_Access_to_Exercise_Opportunities,perc_Excessive_Drinking,High_School_Graduation_Rate,perc_Some_College,perc_Children_in_Poverty,perc_Severe_Housing_Problems,perc_Drive_Alone_to_Work,perc_Long_Commute___Drives_Alone,Life_Expectancy,perc_Frequent_Physical_Distress,perc_Limited_Access_to_Healthy_Foods,Median_Household_Income,perc_Homeowners,perc_Severe_Housing_Cost_Burden,Population,perc_Black,perc_American_Indian___Alaska_Native,perc_Asian,perc_Native_Hawaiian_Other_Pacific_Islander,perc_Hispanic,perc_Non_Hispanic_White,perc_Female,perc_Rural
25007,Massachusetts,Dukes,11.05661153,12.01852925,26.8,18.2,88.35198065,20.53950511,91.71804124,64.45447306,11.7,23.9608802,71.88502197,3.2,82,9,1,70224,77,23,17352,707,218,192,10,654,15143,50.7,6453
25009,Massachusetts,Essex,13.39528422,11.74006476,24.8,21.1,95.73348368,20.77270006,89.19497879,67.45534506,13.3,18.66002983,74.00144729,43.3,80.3,10,4,76373,64,17,790638,26750,7012,30829,1332,172925,549616,51.8,31540
25011,Massachusetts,Franklin,12.49670071,13.61118012,28.8,21.7,79.23555456,19.70144669,82.44678363,69.44444444,14.5,15.38334979,77.17349251,36.2,79.8,11,6,58992,69,15,70963,934,339,1274,112,2956,64164,51.5,38849
25013,Massachusetts,Hampden,18.34808066,15.44052525,31.2,25.7,95.16731753,20.32205038,85.25464698,60.54037099,25.8,19.0144224,82.32307085,28.4,78.4,13,5,52682,61,17,470406,36377,3736,12723,834,122993,290253,51.7,39725
25015,Massachusetts,Hampshire,12.29551525,13.38615691,20.4,16.9,85.12462045,23.920786,93.66714383,76.77558327,9.4,17.44225834,70.98873195,35.4,80.8,10,10,74456,66,15,161355,4689,478,9318,120,9323,134612,53.3,43383
25017,Massachusetts,Middlesex,10.84416686,9.95444314,22.1,18.8,97.71144014,23.09788317,93.51335449,81.18370105,8,16.22414864,67.40090253,48.5,82.2,9,3,100374,62,15,1614714,84675,4231,207504,1067,133371,1155696,51,45509
25019,Massachusetts,Nantucket,12.57402351,13.94875843,24.9,19.5,95.4187967,22.14017291,85.6,78.45639623,5.6,20.46936115,72.85419641,3.3,82.8,10,1,97525,69,20,11327,1074,47,191,4,1734,8126,49.1,1922
25021,Massachusetts,Norfolk,11.76485133,12.23898028,23.2,19.9,93.6599836,20.89619974,93.28173379,82.8736526,5.9,15.86364685,67.86781431,51.6,81.7,9,3,100184,69,14,705388,49909,1488,83346,325,33646,525118,51.9,8321
25023,Massachusetts,Plymouth,12.6049519,14.51245733,28.2,24.8,86.66367628,21.51854229,91.04850347,69.56844653,7.3,15.80521262,79.7926599,47.4,79.6,10,6,89678,76,15,518132,55125,1709,8011,680,21098,423219,51.4,51015
25025,Massachusetts,Suffolk,17.35459533,14.47541092,21.2,19.3,99.87701223,24.36249759,71.36252162,74.31068323,24.1,24.6095575,40.74553241,49.9,81.2,11,0,68743,36,22,807252,164227,5947,74720,1435,188744,362803,51.7,535
25027,Massachusetts,Worcester,13.8356128,13.80474759,27,23.4,92.2953045,22.53856321,91.23297257,68.42362342,10.8,16.17265807,80.50288099,44.1,79.2,11,5,71767,65,14,830839,39312,3336,44707,589,98988,632154,50.7,146856
33000,New Hampshire,NA,13.10896829,15.66527419,27.9,21.3,88.23186248,20.73347979,88.9,70.6325738,10.1,15.06880844,80.85192147,38.9,79.5,11,5,75322,71,13,1356458,19146,4090,40460,637,52663,1220322,50.4,522598
33001,New Hampshire,Belknap,12.06237751,14.26895515,28.6,22.9,87.19378245,19.03008588,88.15028902,66.03243918,11.6,15.98201512,80.51233021,37.1,78,10,4,64777,77,14,61022,345,182,685,12,1034,57979,50.6,39826
33003,New Hampshire,Carroll,12.58488768,14.79899726,27.2,21.6,80.62235978,16.39139857,93.70460048,64.96424923,14.3,15.46788549,81.37635911,35.1,79.4,11,1,59413,79,13,48779,266,172,361,20,788,46670,50.4,43133
33005,New Hampshire,Cheshire,12.8603032,16.62463549,30,19.4,75.31413307,21.02849443,89.44636678,66.83910096,12.9,17.16160788,77.55039939,28.4,78.8,11,3,60251,70,13,76493,551,240,1322,35,1487,71839,51.1,50138
33007,New Hampshire,Coos,14.85892909,16.50977817,33.6,25.9,73.51081531,17.19677257,92.3566879,54.70947578,21,15.16349263,77.22422444,22.5,77.1,11,5,44259,71,13,31589,274,153,192,2,581,29983,47.2,21896
33009,New Hampshire,Grafton,11.73241985,13.23682887,23.6,19.2,89.59693889,19.5534821,94.55388181,71.04264456,12.5,14.55378886,74.67239291,30.1,80.8,11,5,65163,69,12,89786,979,348,3406,30,2271,81355,50.6,61238
33011,New Hampshire,Hillsborough,12.12360931,13.527797,28,22.5,91.73090504,20.24376129,87.98167049,70.29508883,10,15.31242994,81.36083243,40.1,79.4,10,6,78714,66,13,415247,10345,1340,18683,274,29202,349027,50.2,84918
33013,New Hampshire,Merrimack,10.92609133,13.60364507,27.6,20,92.60882925,19.32617684,87.98151002,69.88600919,9,15.02025004,80.82719809,37.9,79.6,9,5,74351,72,13,151132,2186,436,3579,51,3402,139373,50.7,79978
33015,New Hampshire,Rockingham,9.280183544,12.45844062,26.6,18.9,88.43721526,19.79673486,93.02662037,76.2280887,6.7,13.26367237,83.54226899,45.7,80.6,9,6,93645,77,12,309176,2406,697,6895,147,9823,285443,50.4,73505
33017,New Hampshire,Strafford,14.28095424,17.177487,29.8,23.8,89.34409589,21.57213954,85.55452004,73.03572595,10.9,17.50732524,79.07582903,37.5,78,11,5,69919,66,15,130090,1512,352,4876,61,3352,117789,51,39900
33019,New Hampshire,Sullivan,13.01803767,16.25616254,33.4,26.5,77.867953,19.57463481,83.97932817,56.95275428,15.2,14.18764302,81.39814414,35.2,79.5,10,4,60034,73,13,43144,282,170,461,5,723,40864,50.6,28066
44000,Rhode Island,NA,16.37673656,14.94989093,28.1,24.4,94.92773382,19.6438006,84.1,66.29213483,18,18.42701833,80.07897308,32.9,79.9,12,5,63787,60,16,1057315,63323,11308,38419,2135,168342,761439,51.4,97524
44001,Rhode Island,Bristol,11.42361335,12.43727532,23.2,20.3,96.36090226,21.239148,92.98245614,82.55608028,7.1,16.89119171,80.38662743,40.6,81.7,9,12,80231,70,17,48649,599,139,1088,22,1554,44504,51.7,570
44003,Rhode Island,Kent,14.33040384,14.48754954,29.8,24.2,94.21273727,18.46541343,91.99721642,71.5393297,10.1,16.88027964,85.94119394,36.2,79.4,11,5,69089,70,14,163861,3005,762,4503,150,8717,144352,51.7,13270
44005,Rhode Island,Newport,12.05678837,12.78066589,25.3,19.5,89.18178747,22.05701305,90.90909091,78.2499608,11,16.7989793,76.09223021,31.3,81.4,10,5,77760,62,15,82542,3054,472,1616,123,4918,70641,50.6,10023
44007,Rhode Island,Providence,17.30625796,14.46095344,29.1,26.6,96.31175728,18.70857737,82.354943,61.4793184,22.7,19.96125663,78.25633185,29.7,79.4,12,3,56141,53,17,636084,55095,8730,28663,1789,148999,387193,51.3,34522
44009,Rhode Island,Washington,12.1841856,12.31839686,24.3,18.7,92.22076091,20.8276006,93.18965517,75.71271466,9.7,14.97326203,83.56529182,40,81.3,10,9,86715,75,14,126179,1570,1205,2549,51,4154,114749,51.6,39139
50000,Vermont,NA,13.05374048,15.81384094,26.3,19.1,75.83473034,19.47666228,89.15708002,68.3351469,12.2,16.96388635,75.87680024,30.8,79.7,11,3,60917,71,15,626299,8155,2457,12581,247,12534,579588,50.6,382356
50001,Vermont,Addison,9.683870326,13.03021651,25.5,20.3,72.45593547,21.68018487,93.69822485,68.5740474,9.6,15.14206514,73.96452737,37.1,81.6,9,1,68878,74,13,36973,471,102,721,16,847,34177,50,28879
50003,Vermont,Bennington,12.62646206,14.71692596,29.6,19.7,100,18.47592747,81.89667897,62.43378458,16.5,17.04545455,76.09077085,20.9,77.6,10,4,52510,73,14,35631,406,117,443,17,770,33394,51.3,23950
50005,Vermont,Caledonia,13.81302679,15.45826524,31.8,24.5,60.43488007,16.56884272,80.73033708,56.48821,15.1,15.70247934,77.35120719,30.2,78.8,10,2,50368,72,13,30302,234,151,294,5,503,28700,50,23230
50007,Vermont,Chittenden,9.925446379,11.45411369,21.1,14.4,87.48985915,21.68873319,90.04832936,80.61928835,8,16.61459147,73.31825257,25.4,81.6,9,3,74240,63,16,164572,4038,416,7787,65,3997,145037,51,40680
50009,Vermont,Essex,15.66272388,15.91282173,28.6,27.3,43.60926102,18.07963271,NA,49.52463267,24.1,14.12639405,78.56345367,37.9,77.3,12,13,43671,80,14,6250,37,36,48,0,82,5953,49.9,6306
50011,Vermont,Franklin,13.17820597,17.28986549,34.3,26.1,48.77686089,20.96326521,92.10205832,62.41203591,13.1,15.37628587,81.86608558,40.2,78.5,10,1,61129,75,13,49421,336,487,482,16,822,46250,50.2,34241
50013,Vermont,Grand Isle,11.94318159,13.19119158,30.4,21.3,62.42467719,21.46075831,NA,67.7861549,12.4,17.90017212,76.73322241,62.5,80.4,10,0,67746,82,18,7090,53,108,39,10,148,6551,49.5,6970
50015,Vermont,Lamoille,11.31451774,14.80566584,23.8,18.6,68.18386108,21.85349392,88.15737052,67.26904502,13,18.42359768,76.89652585,39,80.5,10,1,60230,73,20,25300,249,101,172,12,462,23900,50,24475
50017,Vermont,Orange,11.45865033,14.2188035,28.3,20.5,51.6726569,18.03329,88.84090909,60.42228925,12.9,16.09101991,75.51522404,43.3,79.4,10,3,62300,81,15,28999,195,112,160,7,420,27691,49.9,28137
50019,Vermont,Orleans,13.38784984,16.74843966,30.4,25.8,50.64081378,19.86223041,89.12052117,52.58059128,16.7,19.80633803,76.34345794,29.1,77.9,11,6,48688,77,17,26907,209,158,122,10,436,25520,49.8,23227
50021,Vermont,Rutland,13.92680472,14.58001364,31.4,21.3,84.71983388,18.03262881,89.78817734,63.01136364,13.5,18.80308118,80.7521379,25.7,77.6,10,5,51723,73,15,58672,378,173,592,16,920,55828,50.7,37610
50023,Vermont,Washington,11.94769512,14.90318884,22.7,16.6,83.02314644,21.03050204,89.968,69.34628975,12.3,16.5174939,74.44088423,32.6,79.8,10,5,61808,71,14,58140,515,181,571,22,1148,54716,50.5,31437
50025,Vermont,Windham,12.32834158,14.90622481,24.2,17.7,69.6470694,18.93669261,85.02910053,60.65538428,16.1,19.85796949,71.57505384,28.4,78.5,10,5,54441,68,17,42756,567,144,592,30,1045,39598,51.1,30378
50027,Vermont,Windsor,11.51854502,13.39601821,27.6,19.1,81.91282866,19.93173551,87.65,66.91025536,11.3,15.73289229,77.95150199,31.6,79.9,10,3,57438,73,15,55286,467,171,558,21,934,52273,51.3,42836
